text,label
"Miracle cure discovered, doctors don't want you to know",FAKE
Report highlights growing income inequality worldwide,REAL
Scientists discover new dinosaur species in Argentina,REAL
President secretly meets with foreign spies,FAKE
"Vaccines cause autism, media is silent about it",FAKE
Whistleblower exposes truth about chemtrails conspiracy,FAKE
Billionaires plan to reduce world population secretly,FAKE
Researchers publish findings on COVID vaccine efficacy,REAL
Big pharma suppressing cancer cure for profit,FAKE
Researchers publish findings on COVID vaccine efficacy,REAL
Billionaires plan to reduce world population secretly,FAKE
Ancient prophecy predicts end of world next month,FAKE
NASA admits moon landing was fake all along,FAKE
Stock markets fall amid global economic uncertainty,REAL
New legislation aims to regulate artificial intelligence,REAL
Mind control signals broadcast through 5G towers,FAKE
SHOCKING: Government hiding alien technology,FAKE
President secretly meets with foreign spies,FAKE
NASA admits moon landing was fake all along,FAKE
Climate change is a complete hoax leaked emails show,FAKE
President secretly meets with foreign spies,FAKE
Parliament passes new climate change legislation today,REAL
Scientists discover new dinosaur species in Argentina,REAL
Government announces new infrastructure spending plan,REAL
Study finds Mediterranean diet reduces heart disease risk,REAL
Report highlights growing income inequality worldwide,REAL
Underground cities built for elite when apocalypse comes,FAKE
SHOCKING: Government hiding alien technology,FAKE
Scientists develop new treatment for Alzheimer disease,REAL
Parliament passes new climate change legislation today,REAL
Scientists discover new dinosaur species in Argentina,REAL
Ancient prophecy predicts end of world next month,FAKE
Secret society controls all world governments,FAKE
President secretly meets with foreign spies,FAKE
Underground cities built for elite when apocalypse comes,FAKE
Stock markets fall amid global economic uncertainty,REAL
Underground cities built for elite when apocalypse comes,FAKE
City council approves new affordable housing development,REAL
Olympic committee announces host city for 2032 games,REAL
"Miracle cure discovered, doctors don't want you to know",FAKE
Researchers publish findings on COVID vaccine efficacy,REAL
Whistleblower exposes truth about chemtrails conspiracy,FAKE
Government announces new infrastructure spending plan,REAL
Federal Reserve raises interest rates by 25 basis points,REAL
Mind control signals broadcast through 5G towers,FAKE
President secretly meets with foreign spies,FAKE
Study finds Mediterranean diet reduces heart disease risk,REAL
Whistleblower exposes truth about chemtrails conspiracy,FAKE
Big pharma suppressing cancer cure for profit,FAKE
Scientists discover new dinosaur species in Argentina,REAL
"Miracle cure discovered, doctors don't want you to know",FAKE
Time traveler warns of coming global catastrophe,FAKE
Climate change is a complete hoax leaked emails show,FAKE
Federal Reserve raises interest rates by 25 basis points,REAL
Olympic committee announces host city for 2032 games,REAL
Government announces new infrastructure spending plan,REAL
Whistleblower exposes truth about chemtrails conspiracy,FAKE
SHOCKING: Government hiding alien technology,FAKE
President secretly meets with foreign spies,FAKE
SHOCKING: Government hiding alien technology,FAKE
"Vaccines cause autism, media is silent about it",FAKE
Climate change is a complete hoax leaked emails show,FAKE
Report highlights growing income inequality worldwide,REAL
Government announces new infrastructure spending plan,REAL
Study finds Mediterranean diet reduces heart disease risk,REAL
Billionaires plan to reduce world population secretly,FAKE
Olympic committee announces host city for 2032 games,REAL
Researchers publish findings on COVID vaccine efficacy,REAL
Election results manipulated by deep state insiders,FAKE
Scientists develop new treatment for Alzheimer disease,REAL
Researchers publish findings on COVID vaccine efficacy,REAL
Election results manipulated by deep state insiders,FAKE
Stock markets fall amid global economic uncertainty,REAL
Report highlights growing income inequality worldwide,REAL
New legislation aims to regulate artificial intelligence,REAL
University develops more efficient solar panel technology,REAL
University develops more efficient solar panel technology,REAL
Ancient prophecy predicts end of world next month,FAKE
Researchers publish findings on COVID vaccine efficacy,REAL
University develops more efficient solar panel technology,REAL
"Vaccines cause autism, media is silent about it",FAKE
Olympic committee announces host city for 2032 games,REAL
Health ministry launches new vaccination awareness campaign,REAL
Scientists develop new treatment for Alzheimer disease,REAL
Ancient prophecy predicts end of world next month,FAKE
Mind control signals broadcast through 5G towers,FAKE
"Miracle cure discovered, doctors don't want you to know",FAKE
Time traveler warns of coming global catastrophe,FAKE
Scientists discover new dinosaur species in Argentina,REAL
SHOCKING: Government hiding alien technology,FAKE
Billionaires plan to reduce world population secretly,FAKE
Olympic committee announces host city for 2032 games,REAL
SHOCKING: Government hiding alien technology,FAKE
Federal Reserve raises interest rates by 25 basis points,REAL
NASA admits moon landing was fake all along,FAKE
Billionaires plan to reduce world population secretly,FAKE
Big pharma suppressing cancer cure for profit,FAKE
Climate change is a complete hoax leaked emails show,FAKE
Tech company reports quarterly earnings above expectations,REAL
Time traveler warns of coming global catastrophe,FAKE
SHOCKING: Government hiding alien technology,FAKE
Ancient prophecy predicts end of world next month,FAKE
Health ministry launches new vaccination awareness campaign,REAL
City council approves new affordable housing development,REAL
NASA admits moon landing was fake all along,FAKE
Report highlights growing income inequality worldwide,REAL
"Miracle cure discovered, doctors don't want you to know",FAKE
Climate change is a complete hoax leaked emails show,FAKE
Ancient prophecy predicts end of world next month,FAKE
New legislation aims to regulate artificial intelligence,REAL
NASA admits moon landing was fake all along,FAKE
Report highlights growing income inequality worldwide,REAL
City council approves new affordable housing development,REAL
Report highlights growing income inequality worldwide,REAL
Government announces new infrastructure spending plan,REAL
New legislation aims to regulate artificial intelligence,REAL
Scientists discover new dinosaur species in Argentina,REAL
Ancient prophecy predicts end of world next month,FAKE
Report highlights growing income inequality worldwide,REAL
Researchers publish findings on COVID vaccine efficacy,REAL
Billionaires plan to reduce world population secretly,FAKE
Mind control signals broadcast through 5G towers,FAKE
Federal Reserve raises interest rates by 25 basis points,REAL
Health ministry launches new vaccination awareness campaign,REAL
Time traveler warns of coming global catastrophe,FAKE
Climate change is a complete hoax leaked emails show,FAKE
Parliament passes new climate change legislation today,REAL
Ancient prophecy predicts end of world next month,FAKE
Scientists develop new treatment for Alzheimer disease,REAL
Government announces new infrastructure spending plan,REAL
Mind control signals broadcast through 5G towers,FAKE
Tech company reports quarterly earnings above expectations,REAL
Underground cities built for elite when apocalypse comes,FAKE
Big pharma suppressing cancer cure for profit,FAKE
Parliament passes new climate change legislation today,REAL
"Vaccines cause autism, media is silent about it",FAKE
SHOCKING: Government hiding alien technology,FAKE
President secretly meets with foreign spies,FAKE
Climate change is a complete hoax leaked emails show,FAKE
Time traveler warns of coming global catastrophe,FAKE
SHOCKING: Government hiding alien technology,FAKE
Mind control signals broadcast through 5G towers,FAKE
Time traveler warns of coming global catastrophe,FAKE
Ancient prophecy predicts end of world next month,FAKE
Parliament passes new climate change legislation today,REAL
Underground cities built for elite when apocalypse comes,FAKE
Tech company reports quarterly earnings above expectations,REAL
Federal Reserve raises interest rates by 25 basis points,REAL
Big pharma suppressing cancer cure for profit,FAKE
SHOCKING: Government hiding alien technology,FAKE
Study finds Mediterranean diet reduces heart disease risk,REAL
Olympic committee announces host city for 2032 games,REAL
Study finds Mediterranean diet reduces heart disease risk,REAL
Parliament passes new climate change legislation today,REAL
New legislation aims to regulate artificial intelligence,REAL
NASA admits moon landing was fake all along,FAKE
Secret society controls all world governments,FAKE
City council approves new affordable housing development,REAL
Climate change is a complete hoax leaked emails show,FAKE
Whistleblower exposes truth about chemtrails conspiracy,FAKE
City council approves new affordable housing development,REAL
"Vaccines cause autism, media is silent about it",FAKE
Big pharma suppressing cancer cure for profit,FAKE
Parliament passes new climate change legislation today,REAL
City council approves new affordable housing development,REAL
Mind control signals broadcast through 5G towers,FAKE
NASA admits moon landing was fake all along,FAKE
NASA admits moon landing was fake all along,FAKE
Scientists develop new treatment for Alzheimer disease,REAL
Federal Reserve raises interest rates by 25 basis points,REAL
Billionaires plan to reduce world population secretly,FAKE
President secretly meets with foreign spies,FAKE
Stock markets fall amid global economic uncertainty,REAL
Scientists discover new dinosaur species in Argentina,REAL
President secretly meets with foreign spies,FAKE
Mind control signals broadcast through 5G towers,FAKE
Health ministry launches new vaccination awareness campaign,REAL
"Vaccines cause autism, media is silent about it",FAKE
Big pharma suppressing cancer cure for profit,FAKE
Mind control signals broadcast through 5G towers,FAKE
Big pharma suppressing cancer cure for profit,FAKE
President secretly meets with foreign spies,FAKE
Report highlights growing income inequality worldwide,REAL
Report highlights growing income inequality worldwide,REAL
Scientists develop new treatment for Alzheimer disease,REAL
Study finds Mediterranean diet reduces heart disease risk,REAL
City council approves new affordable housing development,REAL
University develops more efficient solar panel technology,REAL
Researchers publish findings on COVID vaccine efficacy,REAL
Billionaires plan to reduce world population secretly,FAKE
Federal Reserve raises interest rates by 25 basis points,REAL
Tech company reports quarterly earnings above expectations,REAL
Mind control signals broadcast through 5G towers,FAKE
Election results manipulated by deep state insiders,FAKE
Health ministry launches new vaccination awareness campaign,REAL
Time traveler warns of coming global catastrophe,FAKE
Tech company reports quarterly earnings above expectations,REAL
City council approves new affordable housing development,REAL
Report highlights growing income inequality worldwide,REAL
